key,timestamp,bt,user agent,user id,image path,bodypart
,2022.4.1_18.1.18_393,orange,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
delete,2022.4.1_18.1.21_158,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
,2022.4.1_18.2.12_415,greenyellow,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
e,2022.4.1_18.2.16_798,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
delete,2022.4.1_18.2.23_158,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
,2022.4.1_18.2.24_720,red,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
,2022.4.1_18.2.25_742,red,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
,2022.4.1_18.2.4_392,greenyellow,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
,2022.4.1_18.2.58_158,black,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
,2022.4.1_18.4.26_483,save,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",2022.4.1_17.58.37_970,1/2022.4.1_17.58.37_970___2022.4.1_18.4.26_504.png,1
delete,2022.4.1_19.38.15_773,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.81 Safari/537.36",2022.4.1_18.19.10_142,2/2022.4.1_18.19.10_142___2022.4.1_19.38.25_359.png,2
,2022.4.1_19.38.25_352,save,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.81 Safari/537.36",2022.4.1_18.19.10_142,2/2022.4.1_18.19.10_142___2022.4.1_19.38.25_359.png,2
control,2022.4.1_19.55.48_655,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_151,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_183,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_213,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_244,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_275,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_307,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_336,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_368,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_414,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_446,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_478,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_509,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_541,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_573,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_605,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_635,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_666,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_712,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_748,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_774,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_806,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
