v,v norm,user id,role
1.0,0.08333333333333333,"2022.4.6_18.0.23_65, ",keyboard shortcut
4.0,2.1666666666666665,"2022.4.6_18.0.23_65, 2022.4.6_9.0.59_991, ",keyboard shortcut
3.0,1.1666666666666667,"2022.4.6_18.0.23_65, 2022.4.6_9.0.59_991, ",keyboard shortcut
5.0,0.4166666666666667,"2022.4.6_18.0.23_65, ",keyboard shortcut
2.0,0.16666666666666666,"2022.4.6_18.0.23_65, ",keyboard shortcut
11.0,0.9166666666666666,"2022.4.6_18.0.23_65, ",UI button
12.0,2.8333333333333335,"2022.4.1_17.58.37_970, 2022.4.6_18.0.23_65, 2022.4.6_9.0.59_991, ",UI button
28.0,27.083333333333332,"2022.4.1_19.55.45_778, 2022.4.6_18.0.23_65, ",keyboard shortcut
4.0,3.0833333333333335,"2022.4.1_17.58.37_970, 2022.4.1_18.19.10_142, 2022.4.6_18.0.23_65, ",keyboard shortcut
1755.0,147.16666666666666,"2022.4.1_17.58.37_970, 2022.4.6_18.0.23_65, ",keyboard shortcut
8.0,1.5833333333333335,"2022.4.6_18.0.23_65, 2022.4.6_9.0.59_991, ",keyboard shortcut
8.0,1.5833333333333335,"2022.4.2_17.7.43_296, 2022.4.6_18.0.23_65, ",UI button
11.0,2.75,"2022.4.1_17.58.37_970, 2022.4.6_18.0.23_65, ",UI button
10.0,0.8333333333333334,"2022.4.6_18.0.23_65, ",UI button
10.0,1.75,"2022.4.1_17.58.37_970, 2022.4.6_18.0.23_65, ",UI button
12.0,2.8333333333333335,"2022.4.1_17.58.37_970, 2022.4.6_18.0.23_65, ",UI button
21.0,5.416666666666667,"2022.4.1_17.58.37_970, 2022.4.1_18.19.10_142, 2022.4.1_19.55.45_778, 2022.4.2_17.7.43_296, 2022.4.6_18.0.23_65, ",UI button
1.0,0.08333333333333333,"2022.4.6_18.0.23_65, ",keyboard shortcut
1.0,0.08333333333333333,"2022.4.6_18.0.23_65, ",keyboard shortcut
